,date,count(id),sum(case when package_status='delivered' then 1 else 0 end)
477,2019-09-19,1195,1147
478,2019-09-20,438,430
479,2019-09-21,666,654
480,2019-09-22,115,112
481,2019-09-23,846,810
482,2019-09-24,553,534
483,2019-09-25,507,493
484,2019-09-26,499,480
485,2019-09-27,467,460
486,2019-09-28,306,297
487,2019-09-29,57,57
488,2019-09-30,1064,1042
489,2019-10-01,710,690
490,2019-10-02,580,528
491,2019-10-03,527,407
492,2019-10-04,384,257
493,2019-10-05,221,148
494,2019-10-06,115,59
495,2019-10-07,784,461
496,2019-10-08,479,320
497,2019-10-09,528,336
498,2019-10-10,448,300
499,2019-10-11,478,329
500,2019-10-12,126,61
501,2019-10-13,34,14
502,2019-10-14,641,392
503,2019-10-15,301,185
504,2019-10-16,256,176
505,2019-10-17,173,105
506,2019-10-18,153,96
507,2019-10-19,110,62
508,2019-10-20,31,17
509,2019-10-21,362,262
510,2019-10-22,152,110
511,2019-10-23,285,207
512,2019-10-24,180,104
513,2019-10-25,239,142
514,2019-10-26,145,96
515,2019-10-27,47,41
516,2019-10-28,65,42
517,2019-10-29,488,343
518,2019-10-30,304,213
519,2019-10-31,225,158
520,2019-11-01,282,197
521,2019-11-02,101,62
522,2019-11-03,32,12
523,2019-11-04,777,589
524,2019-11-05,581,457
525,2019-11-06,517,429
526,2019-11-07,449,311
527,2019-11-08,268,193
528,2019-11-09,241,206
529,2019-11-10,251,204
530,2019-11-11,9696,8463
531,2019-11-12,5200,4477
532,2019-11-13,2088,1679
533,2019-11-14,1718,1288
534,2019-11-15,1613,1348
535,2019-11-16,780,722
536,2019-11-17,1853,1769
537,2019-11-18,866,761
538,2019-11-19,1537,1345
539,2019-11-20,601,519
540,2019-11-21,931,843
541,2019-11-22,792,674
542,2019-11-23,318,288
543,2019-11-24,45,36
544,2019-11-25,650,532
545,2019-11-26,1065,956
546,2019-11-27,549,477
547,2019-11-28,418,362
548,2019-11-29,504,437
549,2019-11-30,343,308
550,2019-12-01,85,67
551,2019-12-02,932,820
552,2019-12-03,476,438
553,2019-12-04,561,517
554,2019-12-05,963,881
555,2019-12-06,756,670
556,2019-12-07,452,412
557,2019-12-08,199,184
558,2019-12-09,1074,935
559,2019-12-10,718,599
560,2019-12-11,421,322
561,2019-12-12,8939,6943
562,2019-12-13,5498,4159
563,2019-12-14,2320,1688
564,2019-12-15,639,429
565,2019-12-16,2837,2058
566,2019-12-17,1295,1006
567,2019-12-18,1369,1140
568,2019-12-19,932,639
569,2019-12-20,492,347
570,2019-12-21,320,218
571,2019-12-22,68,41
572,2019-12-23,1253,444
573,2019-12-24,795,310
574,2019-12-25,214,149
575,2019-12-26,1835,663
576,2019-12-27,864,403
577,2019-12-28,602,245
578,2019-12-29,91,32
579,2019-12-30,1404,562
580,2019-12-31,805,286
581,2020-01-01,103,27
582,2020-01-02,1491,487
583,2020-01-03,1203,430
584,2020-01-04,767,274
585,2020-01-05,151,58
586,2020-01-06,1728,651
587,2020-01-07,1078,406
588,2020-01-08,1005,387
589,2020-01-09,973,396
590,2020-01-10,865,296
591,2020-01-11,521,161
592,2020-01-12,106,11
593,2020-01-13,1782,549
594,2020-01-14,1413,390
595,2020-01-15,1355,393
596,2020-01-16,1349,404
597,2020-01-17,828,227
598,2020-01-18,579,159
599,2020-01-19,113,10
600,2020-01-20,1444,399
601,2020-01-21,931,292
602,2020-01-22,747,204
603,2020-01-23,694,198
604,2020-01-24,429,135
605,2020-01-25,11,2
606,2020-01-26,14,4
607,2020-01-27,212,37
608,2020-01-28,1651,587
609,2020-01-29,1442,364
610,2020-01-30,1029,269
611,2020-01-31,914,264
612,2020-02-01,529,133
613,2020-02-02,79,15
614,2020-02-03,1570,373
615,2020-02-04,1176,345
616,2020-02-05,1094,356
617,2020-02-06,927,302
618,2020-02-07,778,290
619,2020-02-08,236,72
620,2020-02-09,74,12
621,2020-02-10,1938,656
622,2020-02-11,1096,347
623,2020-02-12,1067,473
624,2020-02-13,755,386
625,2020-02-14,757,376
626,2020-02-15,498,172
627,2020-02-16,73,12
628,2020-02-17,1411,426
629,2020-02-18,971,350
630,2020-02-19,1352,560
631,2020-02-20,794,275
632,2020-02-21,748,255
633,2020-02-22,446,126
634,2020-02-23,68,16
635,2020-02-24,1337,433
636,2020-02-25,833,268
637,2020-02-26,802,231
638,2020-02-27,762,225
639,2020-02-28,845,301
640,2020-02-29,689,210
641,2020-03-01,85,22
642,2020-03-02,1572,521
643,2020-03-03,1432,529
644,2020-03-04,1364,509
645,2020-03-05,764,257
646,2020-03-06,912,289
647,2020-03-07,587,182
648,2020-03-08,78,16
649,2020-03-09,1656,538
650,2020-03-10,1027,333
651,2020-03-11,1011,378
652,2020-03-12,853,272
653,2020-03-13,651,219
654,2020-03-14,444,148
655,2020-03-15,154,43
656,2020-03-16,1399,460
657,2020-03-17,788,236
658,2020-03-18,538,178
659,2020-03-19,529,163
660,2020-03-20,432,151
661,2020-03-21,288,112
662,2020-03-22,254,94
663,2020-03-23,1595,903
664,2020-03-24,1002,534
665,2020-03-25,1131,654
666,2020-03-26,1506,886
667,2020-03-27,8262,5326
668,2020-03-28,4623,2625
669,2020-03-29,1683,997
670,2020-03-30,4718,2569
671,2020-03-31,2651,1331
672,2020-04-01,2654,1266
673,2020-04-02,2723,1219
674,2020-04-03,2137,861
675,2020-04-04,1629,542
676,2020-04-05,1296,433
677,2020-04-06,2892,1098
678,2020-04-07,1951,374
679,2020-04-08,1762,193
680,2020-04-09,2068,116
681,2020-04-10,1837,47
682,2020-04-11,984,0
